"Question","Question_Text","Result"
"A1(a)","Use R to plot a diagram of the Markov chain. Identify all transient and recurrent classes. Identify all absorbing and reflective states. Find the period of each state.","Transient classes {2},{3,4,5}; recurrent class {1}; absorbing state 1; reflecting state 1; periods d(1)=1, d(2)=undefined, d(3)=d(4)=d(5)=3"
"A1(b)","Simulate three trajectories of the chain that start at a randomly chosen state. Comment on what you see.","Three simulated trajectories eventually end in state 1"
"A1(c)","Find the steady-state probabilities and interpret them. Is it an ergodic chain?","Steady-state distribution (1,0,0,0,0); not ergodic"
"A1(d)","Plot the unconditional probabilities at time n against time and comment on how fast the probabilities converge to the steady-state distribution.","Unconditional probabilities converge to (1,0,0,0,0)"
"A2(a)","Use R to plot a diagram of the Markov chain.","Markov chain diagram plotted and saved"
"A2(b)","Identify all recurrent and transient classes. Find their periods. Are there any absorbing and reflecting states?","Recurrent class {1,2}; transient class {3,4,5,6,7}; no absorbing states; reflecting states 5,6,7; periods identified"
"A2(c)","Simulate two trajectories of the chain that start at a randomly selected state. Discuss what you see in the plot.","Two simulated trajectories show eventual entry into {1,2}"
"A2(d)","Calculate the limiting probabilities and interpret them. Is the chain ergodic?","Stationary distribution (1/2,1/2,0,0,0,0,0); not ergodic"
"A3(a)","If the traffic starts with light state at 1PM, what is the distribution of states at 6PM?","Distribution at 6 PM = (0.014801, 0.132596, 0.852603)"
"A3(b)","Simulate 10,000 trajectories to verify the result of the previous part.","10,000 simulated trajectories verify A3(a)"
